Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité intérieure,Production,Population(milles),Food price inflation,Réserves (Unités de gros bétail (UGB)),Croissance annuelle du PIB (%),Valeur de PIB,Indice of Political Stability,Export-Quantité,Importations - Prix,Importations - Quantité,Pays
15.72,133.0,91.0,8455.804,0.4186701666666666,114090.0,1.276287,704478.517,1.26,5919.0,186362.0,207704.0,Suisse
31.06,25.0,10.0,570.496,33.00771433333333,60230.0,8.032232,3392.950425,0.13,2094.0,18843.0,18689.0,Suriname
16.6,187.0,157.0,9904.896,2.143090583333333,90750.0,4.918811,541018.7498,0.98,24913.0,209866.0,172640.0,Suède
4.76,77.0,77.0,15419.355,1.6959568333333335,673890.0,10.274254,20996.56985,-0.05,1.0,75.0,24.0,Sénégal
4.45,40.0,2.0,8880.268,9.241388166666667,52170.0,7.779672,7536.403147,-0.67,1862.0,7865.0,22605.0,Tadjikistan
0.45,7.0,6.0,15016.753,-3.8327439166666664,61540.0,2.122355,13349.04142,-1.29,0.0,1054.0,1921.0,Tchad
21.96,249.0,163.0,10641.034,5.18512975,205870.0,11.390756,218628.941,1.0,79199.0,277603.0,257704.0,Tchéquie
12.95,881.0,1676.0,69209.81,0.0065063333333333145,2713830.0,10.400089,456356.8128,-0.75,488084.0,875.0,14797.0,Thaïlande
4.24,5.0,1.0,1243.258,0.9481361666666667,9500.0,-2.12095,1615.609697,0.07,0.0,10875.0,10308.0,Timor-Leste
7.06,54.0,40.0,7698.474,-1.2132881666666666,267970.0,5.209157,6387.424244,-0.88,48.0,11471.0,11884.0,Togo
54.54,76.0,61.0,1384.059,2.942992333333333,377620.0,1.283062,23797.68697,0.28,1580.0,1201.0,18978.0,Trinité-et-Tobago
17.03,195.0,213.0,11433.443,5.62916325,936460.0,-4.951605,42163.53059,-1.02,2548.0,521.0,3029.0,Tunisie
20.64,1674.0,2192.0,81116.45,12.727930333333333,3428010.0,-1.229687,858988.5786,-1.79,451669.0,5447.0,366.0,Turquie
22.62,1009.0,1211.0,44487.709,12.9061675,1843360.0,20.067978,112090.5038,-1.87,275845.0,74412.0,28085.0,Ukraine
9.12,33.0,33.0,3436.641,2.84227275,327880.0,12.225233,64233.96686,1.05,9937.0,841.0,409.0,Uruguay
12.33,1206.0,918.0,94600.648,-1.0726094166666666,2952090.0,9.014049,223779.8661,0.23,8902.0,117310.0,103357.0,Viet Nam
8.53,246.0,168.0,27834.819,7.161696500000001,650000.0,-1.798504,18391.64982,-2.94,47.0,155376.0,142011.0,Yémen
3.42,60.0,49.0,16853.599,5.773023833333333,387420.0,20.582767,25868.16149,0.15,158.0,7911.0,5552.0,Zambie
4.68,76.0,69.0,14236.595,2.5349850000000003,79650.0,7.260694,22040.6547,-0.71,0.0,4209.0,6906.0,Zimbabwe
12.96,1250.0,1118.0,96442.591,38.895038750000005,1599060.0,-27.795932,195135.2993,-1.42,2075.0,157884.0,161680.0,Égypte
43.47,412.0,48.0,9487.203,1.2121389166666667,243470.0,7.999087,385605.5069,0.62,39529.0,701477.0,796328.0,Émirats arabes unis
19.31,341.0,340.0,16785.361,0.49874141666666666,1605560.0,4.360883,104295.862,-0.07,182.0,94.0,352.0,Équateur
0.13,14.0,14.0,106399.924,11.285757666666667,560560.0,6.426252,76794.68609,-1.68,2.0,836.0,182.0,Éthiopie
