Code Domaine,Domaine,Code zone (M49),Zone,Code de devise ISO (FAO),Devise,Code Élément,Élément,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PE","Taux de change","191","Croatie","HRK","Kuna","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","6.623831","X","Ciffre de sources internationales"
"PE","Taux de change","192","Cuba","CUP","Cuban Peso","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","1","X","Ciffre de sources internationales"
"PE","Taux de change","192","Cuba","CUX","Cuban Foreign Exchange Certificates","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1","X","Ciffre de sources internationales"
"PE","Taux de change","192","Cuba","CUP","Cuban Peso","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1","X","Ciffre de sources internationales"
"PE","Taux de change","531","Curaçao","ANG","Netherlands Antillean Guilder","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","1.79","X","Ciffre de sources internationales"
"PE","Taux de change","531","Curaçao","ANG","Netherlands Antillean Guilder","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1.79","X","Ciffre de sources internationales"
"PE","Taux de change","208","Danemark","DKK","Danish Krone","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","6.60289346561404","X","Ciffre de sources internationales"
"PE","Taux de change","208","Danemark","DKK","Danish Krone","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","6.602893466","X","Ciffre de sources internationales"
"PE","Taux de change","262","Djibouti","DJF","Djibouti Franc","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","177.721","X","Ciffre de sources internationales"
"PE","Taux de change","262","Djibouti","DJF","Djibouti Franc","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","177.72","X","Ciffre de sources internationales"
