Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"EK","Tendances dans l’élevage","192","Cuba","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","6.64","E","Valeur estimée"
"EK","Tendances dans l’élevage","192","Cuba","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","256350","E","Valeur estimée"
"EK","Tendances dans l’élevage","208","Danemark","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.08","E","Valeur estimée"
"EK","Tendances dans l’élevage","208","Danemark","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","4.39","E","Valeur estimée"
"EK","Tendances dans l’élevage","208","Danemark","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","207330","E","Valeur estimée"
"EK","Tendances dans l’élevage","212","Dominique","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.08","E","Valeur estimée"
"EK","Tendances dans l’élevage","212","Dominique","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","15.1","E","Valeur estimée"
"EK","Tendances dans l’élevage","212","Dominique","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","2000","E","Valeur estimée"
"EK","Tendances dans l’élevage","818","Égypte","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.42","E","Valeur estimée"
"EK","Tendances dans l’élevage","818","Égypte","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","18.08","E","Valeur estimée"
"EK","Tendances dans l’élevage","818","Égypte","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","1599060","E","Valeur estimée"
"EK","Tendances dans l’élevage","222","El Salvador","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.14","E","Valeur estimée"
"EK","Tendances dans l’élevage","222","El Salvador","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","18.73","E","Valeur estimée"
"EK","Tendances dans l’élevage","222","El Salvador","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","172750","E","Valeur estimée"
"EK","Tendances dans l’élevage","784","Émirats arabes unis","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.63","E","Valeur estimée"
"EK","Tendances dans l’élevage","784","Émirats arabes unis","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","21.96","E","Valeur estimée"
"EK","Tendances dans l’élevage","784","Émirats arabes unis","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","243470","E","Valeur estimée"
"EK","Tendances dans l’élevage","218","Équateur","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.29","E","Valeur estimée"
"EK","Tendances dans l’élevage","218","Équateur","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","31.67","E","Valeur estimée"
"EK","Tendances dans l’élevage","218","Équateur","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","1605560","E","Valeur estimée"
"EK","Tendances dans l’élevage","232","Érythrée","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0","E","Valeur estimée"
"EK","Tendances dans l’élevage","232","Érythrée","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","0.72","E","Valeur estimée"
"EK","Tendances dans l’élevage","232","Érythrée","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","12770","E","Valeur estimée"
"EK","Tendances dans l’élevage","724","Espagne","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.05","E","Valeur estimée"
"EK","Tendances dans l’élevage","724","Espagne","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","8.12","E","Valeur estimée"
"EK","Tendances dans l’élevage","724","Espagne","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","1375000","E","Valeur estimée"
"EK","Tendances dans l’élevage","233","Estonie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","233","Estonie","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","8.54","E","Valeur estimée"
"EK","Tendances dans l’élevage","233","Estonie","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","21950","E","Valeur estimée"
"EK","Tendances dans l’élevage","748","Eswatini","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.03","E","Valeur estimée"
"EK","Tendances dans l’élevage","748","Eswatini","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","9.91","E","Valeur estimée"
"EK","Tendances dans l’élevage","748","Eswatini","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","38250","E","Valeur estimée"
"EK","Tendances dans l’élevage","231","Éthiopie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","231","Éthiopie","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","1.33","E","Valeur estimée"
"EK","Tendances dans l’élevage","231","Éthiopie","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","560560","E","Valeur estimée"
"EK","Tendances dans l’élevage","643","Fédération de Russie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","643","Fédération de Russie","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","20.38","E","Valeur estimée"
