Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TI","Indices commerciaux","048","Bahreïn","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","1134","E","Valeur estimée"
"TI","Indices commerciaux","050","Bangladesh","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","60","E","Valeur estimée"
"TI","Indices commerciaux","050","Bangladesh","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","188","E","Valeur estimée"
"TI","Indices commerciaux","050","Bangladesh","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","5","E","Valeur estimée"
"TI","Indices commerciaux","050","Bangladesh","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","12","E","Valeur estimée"
"TI","Indices commerciaux","052","Barbade","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","3289","E","Valeur estimée"
"TI","Indices commerciaux","052","Barbade","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","2988","E","Valeur estimée"
"TI","Indices commerciaux","052","Barbade","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","188","E","Valeur estimée"
"TI","Indices commerciaux","052","Barbade","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","376","E","Valeur estimée"
"TI","Indices commerciaux","112","Bélarus","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","16993","E","Valeur estimée"
"TI","Indices commerciaux","112","Bélarus","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","21195","E","Valeur estimée"
"TI","Indices commerciaux","112","Bélarus","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","197113","E","Valeur estimée"
"TI","Indices commerciaux","112","Bélarus","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","256537","E","Valeur estimée"
"TI","Indices commerciaux","056","Belgique","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","374142","E","Valeur estimée"
"TI","Indices commerciaux","056","Belgique","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","558666","E","Valeur estimée"
"TI","Indices commerciaux","056","Belgique","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","758481","E","Valeur estimée"
"TI","Indices commerciaux","056","Belgique","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","1083256","E","Valeur estimée"
"TI","Indices commerciaux","084","Belize","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","359","E","Valeur estimée"
"TI","Indices commerciaux","084","Belize","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","49","E","Valeur estimée"
"TI","Indices commerciaux","084","Belize","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","48","E","Valeur estimée"
"TI","Indices commerciaux","084","Belize","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","0","E","Valeur estimée"
"TI","Indices commerciaux","204","Bénin","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","151500","E","Valeur estimée"
"TI","Indices commerciaux","204","Bénin","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","140857","E","Valeur estimée"
"TI","Indices commerciaux","204","Bénin","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","142","E","Valeur estimée"
"TI","Indices commerciaux","204","Bénin","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","31661","E","Valeur estimée"
"TI","Indices commerciaux","064","Bhoutan","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","714","E","Valeur estimée"
"TI","Indices commerciaux","064","Bhoutan","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","2663","E","Valeur estimée"
"TI","Indices commerciaux","068","Bolivie (État plurinational de)","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","1500","E","Valeur estimée"
"TI","Indices commerciaux","068","Bolivie (État plurinational de)","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","994","E","Valeur estimée"
"TI","Indices commerciaux","068","Bolivie (État plurinational de)","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","1706","E","Valeur estimée"
"TI","Indices commerciaux","068","Bolivie (État plurinational de)","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","1290","E","Valeur estimée"
"TI","Indices commerciaux","070","Bosnie-Herzégovine","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","14983","E","Valeur estimée"
"TI","Indices commerciaux","070","Bosnie-Herzégovine","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","10164","E","Valeur estimée"
"TI","Indices commerciaux","070","Bosnie-Herzégovine","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","5268","E","Valeur estimée"
"TI","Indices commerciaux","070","Bosnie-Herzégovine","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","7304","E","Valeur estimée"
"TI","Indices commerciaux","072","Botswana","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","2745","E","Valeur estimée"
"TI","Indices commerciaux","072","Botswana","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","4085","E","Valeur estimée"
"TI","Indices commerciaux","072","Botswana","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","19","E","Valeur estimée"
"TI","Indices commerciaux","072","Botswana","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","19","E","Valeur estimée"
"TI","Indices commerciaux","076","Brésil","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","8448","E","Valeur estimée"
"TI","Indices commerciaux","076","Brésil","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","9212","E","Valeur estimée"
"TI","Indices commerciaux","076","Brésil","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","6414220","E","Valeur estimée"
"TI","Indices commerciaux","076","Brésil","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","6685051","E","Valeur estimée"
"TI","Indices commerciaux","096","Brunéi Darussalam","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","1760","E","Valeur estimée"
"TI","Indices commerciaux","096","Brunéi Darussalam","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","4536","E","Valeur estimée"
"TI","Indices commerciaux","100","Bulgarie","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","117681","E","Valeur estimée"
"TI","Indices commerciaux","100","Bulgarie","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","135441","E","Valeur estimée"
"TI","Indices commerciaux","100","Bulgarie","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","140441","E","Valeur estimée"
"TI","Indices commerciaux","100","Bulgarie","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","150823","E","Valeur estimée"
"TI","Indices commerciaux","854","Burkina Faso","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","35","E","Valeur estimée"
"TI","Indices commerciaux","854","Burkina Faso","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","114","E","Valeur estimée"
"TI","Indices commerciaux","108","Burundi","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","32","E","Valeur estimée"
"TI","Indices commerciaux","108","Burundi","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","4","E","Valeur estimée"
"TI","Indices commerciaux","132","Cabo Verde","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","10637","E","Valeur estimée"
"TI","Indices commerciaux","132","Cabo Verde","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","15538","E","Valeur estimée"
"TI","Indices commerciaux","116","Cambodge","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","1386","E","Valeur estimée"
"TI","Indices commerciaux","116","Cambodge","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","2714","E","Valeur estimée"
"TI","Indices commerciaux","120","Cameroun","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","436","E","Valeur estimée"
"TI","Indices commerciaux","120","Cameroun","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","204","E","Valeur estimée"
"TI","Indices commerciaux","124","Canada","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","460798","E","Valeur estimée"
"TI","Indices commerciaux","124","Canada","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","426603","E","Valeur estimée"
"TI","Indices commerciaux","124","Canada","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","207949","E","Valeur estimée"
"TI","Indices commerciaux","124","Canada","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","231527","E","Valeur estimée"
"TI","Indices commerciaux","152","Chili","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","165915","E","Valeur estimée"
"TI","Indices commerciaux","152","Chili","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","208993","E","Valeur estimée"
"TI","Indices commerciaux","152","Chili","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","338642","E","Valeur estimée"
"TI","Indices commerciaux","152","Chili","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","296851","E","Valeur estimée"
"TI","Indices commerciaux","344","Chine - RAS de Hong-Kong","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","1457523","E","Valeur estimée"
"TI","Indices commerciaux","344","Chine - RAS de Hong-Kong","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","1346808","E","Valeur estimée"
"TI","Indices commerciaux","344","Chine - RAS de Hong-Kong","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","1030669","E","Valeur estimée"
"TI","Indices commerciaux","344","Chine - RAS de Hong-Kong","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","897414","E","Valeur estimée"
"TI","Indices commerciaux","446","Chine - RAS de Macao","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","42107","E","Valeur estimée"
"TI","Indices commerciaux","446","Chine - RAS de Macao","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","47498","E","Valeur estimée"
"TI","Indices commerciaux","156","Chine, continentale","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","1118589","E","Valeur estimée"
"TI","Indices commerciaux","156","Chine, continentale","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","951083","E","Valeur estimée"
"TI","Indices commerciaux","156","Chine, continentale","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","539680","E","Valeur estimée"
"TI","Indices commerciaux","156","Chine, continentale","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","591669","E","Valeur estimée"
"TI","Indices commerciaux","158","Chine, Taiwan Province de","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","164818","E","Valeur estimée"
"TI","Indices commerciaux","158","Chine, Taiwan Province de","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","166679","E","Valeur estimée"
"TI","Indices commerciaux","158","Chine, Taiwan Province de","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","6521","E","Valeur estimée"
"TI","Indices commerciaux","158","Chine, Taiwan Province de","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","9417","E","Valeur estimée"
"TI","Indices commerciaux","196","Chypre","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","27251","E","Valeur estimée"
"TI","Indices commerciaux","196","Chypre","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","30161","E","Valeur estimée"
"TI","Indices commerciaux","196","Chypre","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","345","E","Valeur estimée"
"TI","Indices commerciaux","196","Chypre","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","578","E","Valeur estimée"
"TI","Indices commerciaux","170","Colombie","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","47434","E","Valeur estimée"
"TI","Indices commerciaux","170","Colombie","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","66466","E","Valeur estimée"
"TI","Indices commerciaux","170","Colombie","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","2021","E","Valeur estimée"
"TI","Indices commerciaux","170","Colombie","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","2160","E","Valeur estimée"
"TI","Indices commerciaux","174","Comores","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","8256","E","Valeur estimée"
